id,sentiment
12311_10,0.86
8348_2,0.17
5828_4,0.52
7186_2,0.59
12128_7,0.78
2913_8,0.47
4396_1,0.33
395_2,0.42
10616_1,0.11
9074_9,0.45
9252_3,0.31
9896_9,0.63
574_4,0.34
11182_8,0.65
11656_4,0.59
2322_4,0.57
8703_1,0.52
7483_1,0.17
6007_10,0.83
12424_4,0.31
4672_1,0.27
10841_3,0.05
8954_7,0.34
7392_1,0.2
10288_8,0.66
5343_4,0.13
4950_1,0.16
9257_4,0.38
8689_3,0.23
4480_2,0.51
9286_10,0.72
12245_10,0.85
7529_7,0.72
4_4,0.48
5299_2,0.22
12077_8,0.76
10701_2,0.18
11579_1,0.23
10993_1,0.27
8913_1,0.28
1350_3,0.25
3804_2,0.33
5025_3,0.47
5170_8,0.59
8225_8,0.62
6427_7,0.69
3165_3,0.51
7902_9,0.86
8208_3,0.18
3577_8,0.47
4865_1,0.25
9063_3,0.44
1106_1,0.64
1117_9,0.59
1050_4,0.56
10755_9,0.59
2729_8,0.8
10072_10,0.7
2904_7,0.7
4584_2,0.52
189_4,0.51
6302_4,0.43
8138_9,0.68
1262_1,0.35
2199_10,0.59
6551_7,0.61
8082_7,0.44
4897_8,0.72
7360_1,0.46
11012_10,0.73
12046_1,0.35
2331_2,0.57
8961_9,0.69
751_7,0.58
9884_10,0.64
10016_8,0.65
8023_10,0.48
2628_1,0.31
5832_1,0.3
7302_1,0.2
4501_3,0.44
1121_7,0.44
8334_3,0.56
9789_10,0.56
4230_10,0.73
824_4,0.43
6803_9,0.66
3086_7,0.74
1135_8,0.73
10136_1,0.21
11129_3,0.18
2072_8,0.62
9501_7,0.76
319_10,0.65
1693_7,0.78
10886_1,0.11
9406_8,0.57
10376_10,0.4
9902_1,0.39
9938_8,0.44
7080_9,0.7
11944_8,0.7
5249_1,0.29
9599_2,0.31
9620_1,0.36
11244_1,0.34
6841_10,0.85
10050_4,0.57
10512_9,0.88
11327_3,0.3
10681_8,0.7
808_3,0.47
546_7,0.92
10765_1,0.22
7189_9,0.49
6005_9,0.59
11915_9,0.62
5740_10,0.82
7097_10,0.56
9573_10,0.77
5084_4,0.53
12332_7,0.57
8154_1,0.4
5610_1,0.39
5323_9,0.59
11034_8,0.54
3977_2,0.28
12380_7,0.31
1737_8,0.52
6030_9,0.62
5918_7,0.74
7061_9,0.68
266_8,0.69
1375_10,0.7
8648_3,0.34
10146_10,0.8
4578_10,0.42
4685_8,0.63
11843_9,0.69
5467_10,0.9
10140_10,0.72
7721_8,0.77
11208_10,0.35
1063_10,0.67
8260_10,0.65
3182_9,0.92
2797_8,0.63
7613_2,0.65
11624_4,0.32
4847_10,0.94
10684_7,0.74
6312_1,0.44
4925_3,0.34
4125_1,0.09
2394_10,0.94
12105_10,0.77
7812_1,0.07
1061_8,0.56
9343_3,0.31
7696_10,0.88
9355_10,0.64
782_9,0.79
9882_10,0.82
10642_10,0.95
7410_2,0.31
9591_4,0.28
11902_3,0.47
3495_7,0.34
6733_1,0.1
4552_1,0.2
