Year,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00,2013.00,2014.00,2015.00,
Revenue CAD Mil,11332.00,12066.00,3713.00,9928.00,12085.00,12249.00,12549.00,12783.00,13376.00,13856.00,
Operating Income CAD Mil,3315.00,3851.00,-4260.00,1619.00,4012.00,4058.00,4043.00,4048.00,3914.00,4224.00,
Operating Margin %,29.30,31.90,-114.70,16.30,33.20,33.10,32.20,31.70,29.30,30.50,
Net Income CAD Mil,2646.00,3296.00,-2060.00,1174.00,2452.00,3079.00,3331.00,3403.00,3218.00,3576.00,
Earnings Per Share CAD,7.43,9.21,-5.89,2.65,5.87,7.31,7.85,8.23,7.86,8.87,
Dividends CAD,2.75,3.09,3.48,4.35,3.50,3.51,3.64,3.80,3.94,4.30,
Shares Mil,338.00,339.00,372.00,382.00,389.00,397.00,404.00,401.00,398.00,398.00,
Book Value Per Share USD,26.37,35.04,24.53,25.70,30.35,36.62,37.49,38.34,38.40,37.99,
Operating Cash Flow CAD Mil,-6939.00,4566.00,434.00,24935.00,-7976.00,-1452.00,1620.00,5186.00,-16571.00,19483.00,
Cap Spending CAD Mil,-102.00,-246.00,-149.00,-272.00,-220.00,-235.00,-309.00,-248.00,-251.00,-256.00,
Free Cash Flow CAD Mil,-7041.00,4320.00,285.00,24663.00,-8196.00,-1687.00,1311.00,4938.00,-16822.00,19227.00,
Free Cash Flow Per Share USD,-18.55,13.40,0.64,67.18,0.61,-4.27,3.24,12.16,-10.46,11.62,
Key Ratios -> Profitability,,,,,,,,,,,
Margins % of Sales,2006-10,2007-10,2008-10,2009-10,2010-10,2011-10,2012-10,2013-10,2014-10,2015-10,
Revenue,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
SG&A,39.80,38.44,111.30,52.36,45.09,46.58,44.65,37.52,39.12,41.67,
Other,26.11,24.65,82.61,14.73,13.06,13.42,12.85,22.04,24.61,22.28,
Operating Margin,29.26,31.92,-114.73,16.31,33.20,33.13,32.22,31.67,29.26,30.48,
Net Int Inc & Other,-4.83,-4.99,-20.82,-16.61,-8.66,-6.87,-10.29,-8.77,-7.01,-5.56,
EBT Margin,29.26,31.92,-114.73,16.31,33.20,33.13,32.22,31.67,29.26,30.48,
Profitability,2006-10,2007-10,2008-10,2009-10,2010-10,2011-10,2012-10,2013-10,2014-10,2015-10,
Net Margin %,22.18,25.90,-58.68,11.83,18.89,23.69,25.28,26.62,23.41,25.48,
Asset Turnover (Average),0.04,0.04,0.01,0.03,0.04,0.03,0.03,0.03,0.03,0.03,
Return on Assets %,0.86,0.97,-0.63,0.34,0.66,0.82,0.85,0.86,0.77,0.80,
Financial Leverage (Average),30.58,30.67,31.60,30.21,27.86,24.25,25.95,24.08,23.59,22.76,
Return on Equity %,27.48,29.62,-19.49,10.52,19.22,21.32,21.34,21.47,18.35,18.61,
Key Ratios -> Growth,,,,,,,,,,,
Year over Year,-9.15,6.48,-69.23,167.36,21.73,1.36,2.45,1.86,4.64,3.59,
3-Year Average,-0.71,0.51,-33.23,-4.31,0.05,48.86,8.12,1.89,2.98,3.36,
5-Year Average,0.30,1.79,-20.34,-3.53,-0.63,1.57,0.79,28.05,6.14,2.77,
Cash Flow Ratios,2006-10,2007-10,2008-10,2009-10,2010-10,2011-10,2012-10,2013-10,2014-10,2015-10,
Cap Ex as a % of Sales,0.90,2.04,4.02,2.74,1.82,1.92,2.46,1.94,1.88,1.85,
Free Cash Flow/Sales %,-62.14,35.81,7.67,248.42,-67.82,-13.77,10.45,38.63,-125.76,138.76,
Free Cash Flow/Net Income,-2.66,1.31,-0.14,21.01,-3.34,-0.55,0.39,1.45,-5.23,5.38,
Balance Sheet Items (in %),2006-10,2007-10,2008-10,2009-10,2010-10,2011-10,2012-10,2013-10,2014-10,2015-10,
Cash & Short-Term Investments,3.90,4.02,0.44,2.09,3.42,2.62,1.20,1.60,3.27,4.02,
Net PP&E,0.67,0.58,0.57,0.48,0.47,0.47,0.43,0.43,0.43,0.41,
Intangibles,0.39,0.66,0.71,0.79,0.72,0.72,0.60,0.62,0.58,0.59,
Total Assets,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
Long-Term Debt,1.84,1.62,1.88,1.54,1.36,1.45,1.23,1.47,1.20,0.84,
Total Liabilities,95.95,96.06,96.09,95.75,95.51,95.10,95.71,95.42,95.51,95.39,
Total Stockholders' Equity,4.05,3.94,3.91,4.25,4.49,4.90,4.29,4.58,4.49,4.61,
Total Liabilities & Equity,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
Liquidity/Financial Health,2006-10,2007-10,2008-10,2009-10,2010-10,2011-10,2012-10,2013-10,2014-10,2015-10,
Financial Leverage,30.58,30.67,31.60,30.21,27.86,24.25,25.95,24.08,23.59,22.76,
Debt/Equity,0.56,0.50,0.59,0.46,0.38,0.35,0.32,0.35,0.28,0.19,
Efficiency,2006-10,2007-10,2008-10,2009-10,2010-10,2011-10,2012-10,2013-10,2014-10,2015-10,
Fixed Assets Turnover,5.44,6.02,1.86,5.48,7.37,7.34,7.47,7.52,7.61,7.50,
Asset Turnover,0.04,0.04,0.01,0.03,0.04,0.03,0.03,0.03,0.03,0.03,
