Year,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00,2013.00,2014.00,2015.00,
Revenue CAD Mil,20637.00,22462.00,21582.00,29106.00,28330.00,27430.00,29420.00,30867.00,34108.00,35321.00,
Operating Income CAD Mil,6204.00,7026.00,6006.00,5526.00,6968.00,8642.00,9362.00,10617.00,11710.00,12623.00,
Operating Margin %,30.10,31.30,27.80,19.00,24.60,31.50,31.80,34.40,34.30,35.70,
Net Income CAD Mil,4728.00,5492.00,4555.00,3858.00,5223.00,4852.00,7442.00,8331.00,8910.00,9925.00,
Earnings Per Share CAD,3.59,4.19,3.38,2.57,3.46,3.19,4.93,5.54,6.00,6.73,
Dividends CAD,1.43,1.81,1.99,2.00,1.99,2.08,2.28,2.53,2.84,3.08,
Payout Ratio %,39.50,43.20,58.90,79.90,56.00,46.70,46.00,44.50,45.90,46.40,
Shares Mil,1300.00,1289.00,1320.00,1412.00,1434.00,1438.00,1468.00,1467.00,1452.00,1450.00,
Book Value Per Share USD,14.66,18.45,17.47,20.11,23.00,25.80,27.30,28.21,29.08,29.03,
Operating Cash Flow CAD Mil,-14996.00,19473.00,11432.00,7403.00,11294.00,10338.00,-2074.00,7242.00,15174.00,24149.00,
Cap Spending CAD Mil,-510.00,-706.00,-1265.00,-700.00,-1072.00,-1338.00,-1351.00,-946.00,-1227.00,-1337.00,
Free Cash Flow CAD Mil,-15507.00,18767.00,10167.00,6703.00,10222.00,9000.00,-3425.00,6296.00,13947.00,22812.00,
Free Cash Flow Per Share USD,-10.63,15.31,6.42,3.94,7.04,6.30,-2.33,0.92,8.59,13.33,
Key Ratios -> Profitability,,,,,,,,,,,
Margins % of Sales,2006-10,2007-10,2008-10,2009-10,2010-10,2011-10,2012-10,2013-10,2014-10,2015-10,
Revenue,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
SG&A,47.72,44.67,43.60,49.30,52.05,48.60,49.13,45.25,45.82,43.70,
Other,20.14,20.53,21.18,19.99,16.79,16.34,14.63,16.34,16.43,17.46,
Operating Margin,30.06,31.28,27.83,18.99,24.60,31.51,31.82,34.40,34.33,35.74,
Net Int Inc & Other,-2.08,-3.52,-7.39,-11.73,-6.57,-3.55,-4.42,-4.01,-3.41,-3.11,
EBT Margin,30.06,31.28,27.83,18.99,24.60,31.51,31.82,34.40,34.33,35.74,
Profitability,2006-10,2007-10,2008-10,2009-10,2010-10,2011-10,2012-10,2013-10,2014-10,2015-10,
Tax Rate %,22.71,19.81,22.79,28.38,23.62,21.85,21.67,20.61,23.11,20.57,
Net Margin %,22.62,24.06,20.64,12.45,17.53,16.75,25.30,26.99,25.50,27.56,
Asset Turnover (Average),0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,
Return on Assets %,0.93,0.95,0.67,0.53,0.72,0.62,0.94,0.99,0.97,0.97,
Financial Leverage (Average),25.47,26.81,25.76,20.41,21.27,20.37,20.91,19.59,19.35,18.83,
Return on Equity %,23.21,24.87,17.65,12.05,14.99,12.94,19.49,19.98,18.79,18.43,
Key Ratios -> Growth,,,,,,,,,,,
Year over Year,7.40,8.84,-3.92,34.86,-2.67,-3.18,7.25,4.92,10.50,3.56,
3-Year Average,5.82,7.42,3.95,12.14,8.04,8.32,0.36,2.90,7.53,6.28,
5-Year Average,6.98,7.40,4.38,9.94,8.07,5.86,5.54,7.42,3.22,4.51,
10-Year Average,10.06,9.24,7.94,10.62,9.01,6.41,6.47,5.89,6.53,6.28,
Year over Year,31.92,13.24,-14.51,-8.00,26.09,24.02,8.33,13.41,10.29,7.80,
3-Year Average,10.55,18.52,8.50,-3.79,-0.28,12.89,19.21,15.07,10.66,10.48,
5-Year Average,9.98,10.66,5.52,5.54,8.18,6.85,5.91,12.07,16.21,12.62,
10-Year Average,10.15,9.46,6.92,7.40,6.71,8.40,8.26,8.74,10.75,10.38,
Year over Year,39.56,16.17,-17.07,-15.30,35.38,-7.10,53.38,11.95,6.95,11.39,
3-Year Average,16.30,24.92,10.37,-6.55,-1.66,2.13,24.48,16.84,22.46,10.07,
5-Year Average,14.42,14.74,8.67,6.49,9.04,0.52,6.26,12.83,18.22,13.70,
10-Year Average,12.70,12.58,9.58,8.38,8.99,7.25,10.42,10.73,12.20,11.35,
Year over Year,39.96,16.71,-19.33,-23.96,34.63,-7.80,54.55,12.37,8.30,12.17,
3-Year Average,17.46,25.40,9.63,-10.54,-6.18,-1.91,24.25,16.99,23.44,10.93,
5-Year Average,15.13,15.26,8.82,3.88,6.17,-2.33,3.31,10.39,18.48,14.23,
10-Year Average,13.34,13.01,9.77,7.53,7.37,6.04,9.12,9.60,10.94,10.13,
Cash Flow Ratios,2006-10,2007-10,2008-10,2009-10,2010-10,2011-10,2012-10,2013-10,2014-10,2015-10,
Cap Ex as a % of Sales,2.47,3.14,5.86,2.41,3.78,4.88,4.59,3.06,3.60,3.79,
Free Cash Flow/Sales %,-75.14,83.55,47.11,23.03,36.08,32.81,-11.64,20.40,40.89,64.58,
Free Cash Flow/Net Income,-3.28,3.42,2.23,1.74,1.96,1.85,-0.46,0.76,1.57,2.30,
Balance Sheet Items (in %),2006-10,2007-10,2008-10,2009-10,2010-10,2011-10,2012-10,2013-10,2014-10,2015-10,
Cash & Short-Term Investments,2.78,2.68,4.30,2.64,3.11,3.38,2.77,2.90,2.75,3.27,
Net PP&E,0.34,0.36,0.45,0.36,0.34,0.33,0.33,0.31,0.29,0.25,
Intangibles,0.92,0.90,1.55,1.59,1.38,1.31,1.89,1.30,1.21,1.13,
Total Assets,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
Long-Term Debt,1.58,1.04,1.12,0.99,0.92,1.03,0.92,0.86,0.84,0.69,
Total Liabilities,95.82,95.93,95.75,94.37,94.64,94.45,94.63,94.36,94.40,94.21,
Total Stockholders' Equity,4.18,4.07,4.25,5.63,5.36,5.55,5.37,5.64,5.60,5.79,
Total Liabilities & Equity,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
