Year,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00,2013.00,2014.00,2015.00,
Revenue CAD Mil,13238.00,14564.00,14977.00,17860.00,19565.00,21594.00,23122.00,27262.00,29961.00,31426.00,
Operating Income CAD Mil,5660.00,4944.00,4412.00,3169.00,5777.00,7046.00,7329.00,7533.00,9075.00,9170.00,
Operating Margin %,42.80,33.90,29.50,17.70,29.50,32.60,31.70,27.60,30.30,29.20,
Net Income CAD Mil,4603.00,3997.00,3834.00,3120.00,4644.00,5889.00,6367.00,6557.00,7776.00,7912.00,
Earnings Per Share CAD,3.17,2.74,2.44,1.74,2.55,3.21,3.38,3.46,4.14,4.21,
Dividends CAD,0.89,1.07,1.18,1.22,1.22,1.31,1.45,1.62,1.84,2.00,
Payout Ratio %,28.20,39.00,48.60,67.10,47.50,40.70,42.90,45.90,44.10,47.00,
Shares Mil,1446.00,1451.00,1551.00,1700.00,1744.00,1780.00,1830.00,1845.00,1845.00,1854.00,
Book Value Per Share USD,11.91,15.35,15.32,18.52,21.07,24.22,24.03,23.88,24.47,25.22,
Operating Cash Flow CAD Mil,-6386.00,4054.00,19982.00,24643.00,3249.00,-759.00,14046.00,31695.00,25967.00,35273.00,
Cap Spending CAD Mil,-494.00,-322.00,-532.00,-820.00,-770.00,-304.00,-827.00,-751.00,-837.00,-972.00,
Free Cash Flow CAD Mil,-6880.00,3732.00,19450.00,23823.00,2479.00,-1063.00,13219.00,30944.00,25130.00,34301.00,
Free Cash Flow Per Share USD,-4.24,2.71,10.46,19.86,2.14,-0.60,7.23,13.13,15.34,11.54,
Key Ratios -> Profitability,,,,,,,,,,,
Margins % of Sales,2006-10,2007-10,2008-10,2009-10,2010-10,2011-10,2012-10,2013-10,2014-10,2015-10,
Revenue,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
SG&A,37.43,34.68,36.56,42.88,40.41,36.62,36.71,43.87,42.20,40.95,
Other,16.72,26.95,26.89,25.49,21.75,23.97,23.83,22.51,22.31,24.52,
Operating Margin,42.76,33.94,29.46,17.74,29.53,32.63,31.70,27.63,30.29,29.18,
Net Int Inc & Other,-3.09,-4.43,-7.10,-13.89,-8.31,-6.78,-7.76,-5.98,-5.20,-5.36,
EBT Margin,42.76,33.94,29.46,17.74,29.53,32.63,31.70,27.63,30.29,29.18,
Profitability,2006-10,2007-10,2008-10,2009-10,2010-10,2011-10,2012-10,2013-10,2014-10,2015-10,
Tax Rate %,15.44,17.26,12.18,7.60,21.85,18.44,14.90,15.17,16.66,16.61,
Net Margin %,34.60,27.31,25.20,16.53,22.74,26.44,26.69,23.37,25.48,24.86,
Asset Turnover (Average),0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,
Return on Assets %,1.21,0.98,0.77,0.53,0.76,0.87,0.82,0.76,0.84,0.76,
Financial Leverage (Average),20.46,20.12,18.90,15.77,15.92,15.79,18.38,18.32,18.00,17.61,
Return on Equity %,26.81,19.79,14.87,9.07,11.99,13.86,14.09,13.97,15.33,13.56,
Key Ratios -> Growth,,,,,,,,,,,
Year over Year,11.28,10.02,2.83,19.25,9.55,10.37,7.08,17.91,9.90,4.89,
3-Year Average,9.65,10.39,7.98,10.50,10.34,12.97,8.99,11.69,11.53,10.77,
5-Year Average,4.08,7.32,8.33,10.53,10.46,10.28,9.68,12.73,10.90,9.94,
10-Year Average,12.12,10.28,9.33,8.65,6.94,7.14,8.50,10.50,10.72,10.20,
Year over Year,85.01,-12.66,-10.76,-28.17,82.30,21.97,4.02,2.78,20.47,1.05,
3-Year Average,56.03,15.54,12.98,-17.58,5.33,16.89,32.24,9.25,8.80,7.76,
Year over Year,106.49,-13.18,-4.08,-18.61,48.85,26.81,8.12,2.98,18.59,1.75,
3-Year Average,62.33,20.04,19.81,-12.16,5.13,15.38,26.84,12.19,9.71,7.51,
Year over Year,98.13,-13.56,-11.13,-28.75,46.97,25.69,5.46,2.22,19.83,1.69,
3-Year Average,61.33,17.36,15.03,-18.20,-2.37,9.59,24.89,10.65,8.91,7.59,
Cash Flow Ratios,2006-10,2007-10,2008-10,2009-10,2010-10,2011-10,2012-10,2013-10,2014-10,2015-10,
Cap Ex as a % of Sales,3.73,2.21,3.55,4.59,3.94,1.41,3.58,2.75,2.79,3.09,
Free Cash Flow/Sales %,-51.97,25.62,129.87,133.39,12.67,-4.92,57.17,113.51,83.88,109.15,
Free Cash Flow/Net Income,-1.49,0.93,5.07,7.64,0.53,-0.18,2.08,4.72,3.23,4.34,
Balance Sheet Items (in %),2006-10,2007-10,2008-10,2009-10,2010-10,2011-10,2012-10,2013-10,2014-10,2015-10,
Cash & Short-Term Investments,2.74,3.92,3.19,3.86,3.50,3.51,3.10,3.76,4.93,4.13,
Net PP&E,0.47,0.43,0.68,0.73,0.69,0.60,0.54,0.54,0.52,0.48,
